Volk,AlAs,GaAs,InAs,AlSb,GaSb,InSb,AlP,GaP,InP,C,Si,Ge,Sn,3C-SiC,ZnSe,ZnTe,CdS,ZnS,CdSe,CdTe,Void
Esa,-7.5273,-8.3431,-9.5381,-6.1714,-7.3207,-8.0157,-7.8466,-8.1124,-8.5274,-4.545,-4.2,-5.88,-5.67,-8.4537,-11.8383,-9.815,-11.53,-11.61,-9.63,0,0
Epa,0.9833,1.0414,0.9099,0.9807,0.8554,0.6738,1.3169,1.125,0.8735,3.84,1.715,1.61,1.33,2.1234,1.5072,1.4834,0.53,1.48,1.47,nan,nan
Esc,-1.1627,-2.6569,-2.7219,-2.0716,-3.8993,-3.4643,-1.2534,-2.1976,-1.4826,-4.545,-4.2,-5.88,-5.67,-4.8463,0.0183,-0.935,1.83,1.11,0.03,nan,nan
Epc,3.5867,3.6686,3.7201,3.0163,2.9146,2.9162,4.2831,4.115,4.0465,3.84,1.715,1.61,1.33,4.3466,5.9928,5.2666,5.87,6.52,4.73,nan,nan
Es_a,7.4033,8.5914,7.4099,6.7607,6.6354,6.453,8.7069,8.515,8.2635,11.37,6.685,6.39,5.9,9.6534,7.5872,7.0834,7.13,8.08,7.53,nan,nan
Es_c,6.7267,6.7386,6.7401,6.1543,5.9846,5.9362,7.4231,7.185,7.0665,11.37,6.685,6.39,5.9,9.3166,8.9928,8.2666,6.87,8.02,5.72,nan,nan
Vss,-6.6642,-6.4513,-5.6052,-5.644,-6.1567,-5.5193,-7.4535,-7.4709,-5.3614,-22.725,-8.3,-6.78,-5.67,-12.4197,-6.2163,-6.5765,-3.07,-6.3,-4.64,nan,nan
Vxx,1.878,1.9546,1.8398,1.7199,1.5789,1.4018,2.3749,2.1516,1.8801,3.84,1.715,1.61,1.33,3.038,3.0054,2.7951,1.76,3.11,2.64,nan,nan
Vxy,4.2919,5.0779,4.4693,3.6648,4.1285,3.8761,4.8378,5.1369,4.2324,11.67,4.575,4.9,4.08,5.9216,5.9942,5.467,4.23,5,5.36,nan,nan
Vsa_pc,5.1106,4.48,3.0354,4.9121,4.9601,3.788,5.2451,4.2771,2.2265,15.2206,5.7292,5.4649,4.5116,9.49,3.498,5.9827,2.17,5.16,4.57,nan,nan
Vsc_pa,5.4965,5.7839,5.4389,4.2137,4.6675,4.59,5.2775,6.319,5.5825,15.2206,5.7292,5.4649,4.5116,9.2007,6.3191,5.8199,5.48,5.17,5.54,nan,nan
Vs_a_pc,4.5216,4.8422,3.3744,4.3662,4.9895,3.5666,5.2508,4.6541,3.4623,8.2109,5.3749,5.2191,5.8939,8.7138,2.5891,1.3196,1.99,2.89,3.05,nan,nan
Vpa_s_c,4.995,4.8077,3.9097,3.0739,4.218,3.4048,4.6386,5.095,4.4814,8.2109,5.3749,5.2191,5.8939,4.4051,3.9533,2,3.06,1.75,2.49,nan,nan
bond_l,2.45,2.45,2.62,2.66,2.64,2.81,2.36,2.36,2.54,1.54,2.35,2.45,2.81,1.88,2.45,2.64,2.53,2.35,2.62,nan,nan
